"","UniID","mom","ID","temp","active","instar","dur_class","Mo","year"
"367","8 10","8",10,17,"y",5,0,48.59,"2024"
"368","8 10","8",10,17,"y",5,6,48.59,"2024"
"369","8 10","8",10,17,"y",5,24,48.59,"2024"
"370","8 11","8",11,17,"y",5,0,41.81,"2024"
"371","8 11","8",11,17,"y",5,6,41.81,"2024"
"372","8 11","8",11,17,"y",5,24,41.81,"2024"
"373","8 12","8",12,17,"y",5,0,72.77,"2024"
"374","8 12","8",12,17,"y",5,6,72.77,"2024"
"375","8 12","8",12,17,"y",5,24,72.77,"2024"
"376","8 13","8",13,35,"y",4,0,12.22,"2024"
"377","8 13","8",13,35,"y",4,6,12.22,"2024"
"378","8 13","8",13,35,"y",4,24,12.22,"2024"
"379","8 14","8",14,35,"y",4,0,11.95,"2024"
"380","8 14","8",14,35,"y",4,6,11.95,"2024"
"381","8 14","8",14,35,"y",4,24,11.95,"2024"
"382","8 15","8",15,35,"y",4,0,18.48,"2024"
"383","8 15","8",15,35,"y",4,6,18.48,"2024"
"384","8 15","8",15,35,"y",4,24,18.48,"2024"
"385","8 16","8",16,35,"y",4,0,11.63,"2024"
"386","8 16","8",16,35,"y",4,6,11.63,"2024"
"387","8 16","8",16,35,"y",4,24,11.63,"2024"
"388","8 17","8",17,35,"y",4,0,14.47,"2024"
"389","8 17","8",17,35,"y",4,6,14.47,"2024"
"390","8 17","8",17,35,"y",4,24,14.47,"2024"
"391","8 18","8",18,35,"y",4,0,13.87,"2024"
"392","8 18","8",18,35,"y",4,6,13.87,"2024"
"393","8 18","8",18,35,"y",4,24,13.87,"2024"
"394","8 19","8",19,35,"y",5,0,80.58,"2024"
"395","8 19","8",19,35,"y",5,6,80.58,"2024"
"396","8 19","8",19,35,"y",5,24,80.58,"2024"
"397","8 20","8",20,35,"y",5,0,50.58,"2024"
"398","8 20","8",20,35,"y",5,6,50.58,"2024"
"399","8 20","8",20,35,"y",5,24,50.58,"2024"
"400","8 21","8",21,35,"y",5,0,48.56,"2024"
"401","8 21","8",21,35,"y",5,6,48.56,"2024"
"402","8 21","8",21,35,"y",5,24,48.56,"2024"
"403","8 22","8",22,35,"y",5,0,66.56,"2024"
"404","8 22","8",22,35,"y",5,6,66.56,"2024"
"405","8 22","8",22,35,"y",5,24,66.56,"2024"
"406","8 23","8",23,35,"y",5,0,64.28,"2024"
"407","8 23","8",23,35,"y",5,6,64.28,"2024"
"408","8 23","8",23,35,"y",5,24,64.28,"2024"
"409","8 24","8",24,35,"y",5,0,86.78,"2024"
"410","8 24","8",24,35,"y",5,6,86.78,"2024"
"411","8 24","8",24,35,"y",5,24,86.78,"2024"
"412","8 25","8",25,23,"y",5,0,39.61,"2024"
"413","8 25","8",25,23,"y",5,6,39.61,"2024"
"414","8 25","8",25,23,"y",5,24,39.61,"2024"
"415","8 26","8",26,23,"y",5,0,42.6,"2024"
